Type	RMS	Range	Direction	X	Y	Z
G		7500.573		-2588.457	-218.678	-7036.381
G		7273.646		-2161.238	-1348.628	-6812.942
G		7175.317		-1742.659	-1620.907	-6769.12
G		7248.528		-2678.88	-1528.414	-6559.628
G		7240.635		-2841.874	-813.256	-6609.778
G		7199.314		-1839.595	-1016.73	-6885.658
G		7433.458		-2199.539	-688.903	-7067.088
G		7089.526		-2381.214	-856.731	-6622.478
G		7564.579		-2894.106	216.897	-6985.697
G		7642.549		-2049.787	9.903	-7362.528
G		8144.165		-2347.885	601.858	-7775.129
G		8851.471		-2683.529	1288.099	-8335.947
G		8298.555		-1928.231	1353.059	-7957.209
G		8382.581		-1869.8	691.582	-8142.065
G		7491.634		-1561.659	71.492	-7326.711
G		7411.743		-1033.338	388.134	-7329.085
G		8277.169		-1528.11	-593.699	-8113.195
G		7972.644		-876.635	-821.624	-7881.592
G		7227.142		-1236.72	-1674.373	-6920.88
G		7079.122		-531.332	-1593.865	-6876.863
G		8311.544		-523.713	-1332.075	-8187.372
G		7245.854		-1485.892	-1192.311	-6990.916
G		7830.204		-1094.362	-1182.627	-7662.627
G		8502.95		-1137.77	-222.107	-8423.557
G		7853.937		-1203.726	1147.426	-7675.857
G		8941.615		-1120.918	1822.219	-8681.909
G		7814.067		-558.124	962.206	-7734.487
G		8468.292		-294.443	472.369	-8449.979
G		7886.252		108.193	-1547.929	-7732.088
G		8136.56		551.696	-1145.97	-8036.541
G		10221.31		-239.411	1657.255	-10083.222
G		10631.256		39.793	1114.373	-10572.615
G		8437.122		-311.583	-678.949	-8403.985
G		8822.55		-404.925	-75.851	-8812.927
G		8121.562		744.308	-626.101	-8063.111
G		10410.966		829.868	-310.378	-10373.196
G		8142.301		788.61	-1473.644	-7968.91
G		8131.631		-2875.772	699.275	-7573.927
M		6544.965		882.667	1281.609	-6357.275
M		6470.366		1533.977	376.297	-6274.628
M		6969.038		718.051	899.994	-6873.274
M		7678.342		904.593	314.6	-7618.377
M		5746.461		563.635	430.159	-5702.552
M		8083.913		1584.179	-679.905	-7897.959
M		7258.788		1279.34	-1475.229	-6991.208
M		6248.964		62.301	-1356.913	-6099.545
M		7424.008		-322.742	-840.056	-7369.264
M		6835.574		-414.037	-67.028	-6822.694
M		5098.987		-1260.399	-324.583	-4930.082
M		5951.168		-1921.361	-923.356	-5556.275
M		6010.794		-1736.511	-90.317	-5753.782
M		6612.456		-2635.079	-277.547	-6058.375
M		7381.362		-2892.679	471.827	-6774.532
