	Type	Precision	RMS	Range	Direction	X	Y	Z
491	F	5660	915	3916199	19469	1194653	-584112	-3683508
492	F	7722	9580	4580227	20073	1368406	-841576	-4289254
493	F	3736	1361	3050365	14418	558480	-561325	-2945801
494	F	3051	680	2735268	14110	457122	-527292	-2644748
495	F	6183	6424	3978485	14763	806312	-675237	-3836959
496	F	3597	1978	3002149	9138	351093	-369312	-2958587
497	F	6520	3944	4157283	10823	771458	-183621	-4080948
498	F	7472	10651	4628750	19461	1541653	-29677	-4364373
499	F	7670	924	4580243	15724	1220914	154321	-4411822
500	F	7274	2525	4411740	11399	802380	273021	-4329561
501	F	6433	12268	4098250	11919	617461	515517	-4018536
502	F	9598	5819	5017515	13556	821320	764714	-4890409
503	F	9122	2584	4857155	18700	1017990	1105628	-4618792
504	F	9776	6594	5108770	10926	330075	830979	-5029917
505	F	7971	2192	4669367	6997	144913	476780	-4642701
506	F	5780	5581	3976649	1837	85335	31957	-3975605
507	F	6297	3155	4127376	2304	-26602	-228888	-4120939
508	F	6309	11356	3984317	9875	-327872	-661431	-3915328
509	F	6193	3265	3920189	13344	-274883	-922157	-3800257
510	F	6652	5932	4073383	10268	-506246	-583716	-3999430
511	F	5554	1393	3615621	18880	-882435	-822098	-3408545
512	F	9754	792	4856486	16312	-1158996	-792830	-4649044
513	F	9579	7670	4840871	15435	-1188725	-570394	-4657856
514	F	6663	4402	4021507	14770	-954274	-436223	-3882215
515	F	5858	3863	3901042	6106	-389242	-205008	-3876157
516	F	7659	4081	4466072	8117	-626742	-139089	-4419689
517	F	5480	4413	3714305	10231	-659373	-79766	-3654439
518	F	8963	10492	4760436	13350	-1097026	-141838	-4630137
519	F	12094	2695	5557193	15171	-1454133	-59235	-5363244
520	F	11153	175	5375436	22447	-2050113	-177593	-4965965
521	F	11773	1523	5386999	22224	-1851380	-929465	-4972750
522	F	14682	8209	6034482	17194	-1706139	-611825	-5755843
523	F	10824	3372	5291152	12311	-1109917	120221	-5172032
524	F	11135	349	5369129	11759	-1012079	332908	-5262359
525	F	10249	1668	5232812	9297	-327368	697745	-5175742
526	F	15210	10161	6306723	13738	-397858	1347003	-6148337
527	F	8930	7658	4776573	11863	-577811	719984	-4686513
528	F	9348	1691	4943356	9725	-631872	468885	-4880334
529	F	10767	809	5251510	11918	-827146	620241	-5148737
530	F	10876	1114	5251969	13116	-995932	573711	-5124662
531	F	14737	13970	6077747	17852	-1709450	649587	-5796104
532	F	22365	7318	7551120	21441	-2588554	847262	-7042794
