Frames,Type,RMS,Range,Direction,X,Y,Z
Frame 13,F,,3514.834,,139.949,-176.349,-3507.617
Frame 13,F,,4296.829,,29.574,383.525,-4279.577
Frame 13,F,,3386.923,,-52.005,223.921,-3379.113
Frame 13,F,,4482.895,,-122.76,210.68,-4476.258
Frame 13,F,,3635.403,,-310.916,163.143,-3618.407
Frame 13,F,,3165.164,,-464.978,-24.397,-3130.729
Frame 13,F,,4190.086,,-305.015,443.845,-4155.332
Frame 13,F,,4115.66,,63.183,681.802,-4058.302
Frame 13,F,,4754.095,,-59.649,952.499,-4657.317
Frame 13,F,,4572.712,,-538.409,665.718,-4491.841
Frame 13,F,,4949.446,,-693.459,979.906,-4801.657
Frame 13,F,,5006.19,,-968.764,1011.303,-4806.319
Frame 13,F,,5409.759,,-1400.034,1205.755,-5084.442
Frame 13,F,,5842.204,,-1875.82,1236.467,-5392.939
Frame 13,F,,5388.057,,-1794.574,1134.773,-4952.065
Frame 13,F,,3971.106,,-717.535,379.873,-3887.225
Frame 13,F,,4156.909,,-1343.713,479.006,-3904.47
Frame 13,F,,4924.765,,-1491.778,369.689,-4678.808
Frame 13,F,,4694.389,,-1292.943,26.566,-4512.746
Frame 13,F,,4748.972,,-1490.12,61.383,-4508.715
Frame 13,F,,5136.196,,-1287.754,-787.548,-4909.375
Frame 13,G,,6865.189,,-2554.02,1299.418,-6238.534
Frame 13,G,,6375.485,,-2469.511,1013.437,-5789.756
Frame 13,G,,6268.423,,-2453.883,799.537,-5712.471
Frame 13,G,,6378.635,,-2326.637,675.258,-5900.659
Frame 13,G,,6691.751,,-2346.227,954.879,-6193.784
Frame 13,G,,6733.764,,-2149.147,889.177,-6319.344
Frame 13,G,,6715.611,,-2188.293,689.608,-6311.517
Frame 13,G,,6539.838,,-2344.534,283.605,-6098.542
Frame 13,G,,6465.572,,-2328.931,185.498,-6028.706
Frame 13,G,,6840.875,,-2669.134,104.544,-6297.806
Frame 13,G,,6583.854,,-2475.538,127.919,-6099.384
Frame 13,G,,6731.683,,-2322.542,-15.47,-6318.316
Frame 13,G,,6455.738,,-2271.424,-168.219,-6040.603
Frame 13,G,,5684.105,,-2170.262,-233.98,-5248.263
Frame 13,G,,5129.985,,-1914.942,-462.102,-4736.688
Frame 13,G,,5005.296,,-2018.471,-553.421,-4546.7
Frame 13,G,,5097.089,,-2020.71,-699.309,-4626.88
Frame 13,G,,5147.382,,-2024.637,-919.264,-4642.342
Frame 13,G,,5224.741,,-2018.799,-1109.297,-4689.544
Frame 13,G,,5171.344,,-1802.092,-978.808,-4747.336
Frame 13,G,,5074.287,,-1763.435,-672.6,-4710.233
Frame 13,G,,5152.226,,-1461.252,-914.52,-4855.289
Frame 13,G,,5044.11,,-1486.545,-746.704,-4761.897
Frame 13,G,,5024.107,,-1478.285,-601.795,-4763.84
Frame 13,G,,5026.832,,-1517.656,-492.332,-4766.904
Frame 13,G,,4985.558,,-1530.619,-318.026,-4734.116
Frame 13,G,,6116.898,,-1716.119,-170.506,-5868.756
Frame 13,G,,6105.209,,-1791.941,-66.438,-5835.933
Frame 13,G,,6323.264,,-1951.338,226.937,-6010.361
Frame 13,G,,5138.195,,-1190.004,-1027.51,-4891.745
Frame 13,G,,5163.787,,-1177.075,-892.68,-4947.96
Frame 13,G,,4984.583,,-863.312,-1076.477,-4789.776
Frame 13,G,,5043.965,,-774.778,-873.241,-4907.011
Frame 13,G,,4855.665,,-622.206,-1061.601,-4697.163
Frame 13,G,,5031.739,,-433.315,-810.55,-4947.085
Frame 13,G,,5122.064,,-1472.211,-1113.326,-4777.933
Frame 13,G,,5538.504,,-1266.286,-756.724,-5338.437
Frame 13,G,,5510.139,,-1241.449,-549.497,-5340.27
Frame 13,G,,5556.092,,-1218.36,-404.417,-5405.756
Frame 13,G,,5341.587,,-1137.141,74.521,-5218.611
Frame 13,G,,6041.717,,-1607.395,457.581,-5805.966
Frame 13,G,,5672.373,,-1275.12,579.33,-5496.75
Frame 13,G,,4925.505,,-880.113,-124.783,-4844.629
Frame 13,G,,4773.413,,-760.811,-434.031,-4692.362
Frame 13,G,,4858.635,,-702.305,-586.41,-4771.711
Frame 13,G,,5087.412,,-854.182,-726.194,-4962.336
Frame 13,G,,4973.558,,-376.549,-1094.108,-4837.087
Frame 13,G,,4802.322,,48.463,-1112.258,-4671.491
Frame 13,G,,4843.942,,-55.51,-937.631,-4752.004
Frame 13,G,,4916.491,,-56.54,-691.796,-4867.248
Frame 13,G,,4838.855,,-133.368,-493.412,-4811.785
Frame 13,G,,4747.849,,-387.507,-487.134,-4706.868
Frame 13,G,,4836.337,,-474.174,-275.964,-4805.118
Frame 13,G,,4819.745,,-108.358,-371.674,-4804.171
Frame 13,G,,4847.48,,-127.096,-249.753,-4839.373
Frame 13,G,,4970.585,,-189.468,-125.282,-4965.392
Frame 13,G,,5131.742,,-456.112,69.983,-5110.953
Frame 13,G,,5223.573,,-771.143,236.771,-5160.91
Frame 13,G,,5016.438,,-806.795,117.739,-4949.735
Frame 13,G,,5233.675,,-696.313,355.062,-5174.981
Frame 13,G,,5167.753,,-451.183,354.57,-5135.794
Frame 13,G,,5182.417,,-249.293,445.869,-5157.179
Frame 13,G,,5555.184,,-1108.17,743.402,-5392.53
Frame 13,G,,5652.508,,-1167.17,919.494,-5453.723
Frame 13,G,,5392.674,,-739.074,946.925,-5257.189
Frame 13,G,,5362.154,,-611.806,858.049,-5257.579
Frame 13,G,,5410.913,,-614.868,568.997,-5345.667
Frame 13,G,,5392.517,,-916.735,595.759,-5280.522
Frame 13,G,,5219.467,,-1609.291,-1198.029,-4818.479
Frame 13,G,,5509.489,,-487.41,1112.013,-5374.042
Frame 13,G,,5291.577,,-170.236,696.919,-5242.719
Frame 13,G,,5311.634,,255.407,644.795,-5266.162
Frame 13,G,,5138.29,,-17.182,141.696,-5136.307
Frame 13,G,,5176.353,,176.969,28.954,-5173.246
Frame 13,G,,5010.268,,126.572,-227.13,-5003.517
Frame 13,G,,5478.521,,-211.379,1106.571,-5361.438
Frame 13,G,,5537.272,,83.565,1206.721,-5403.538
Frame 13,G,,5287.166,,92.241,809.271,-5224.05
Frame 13,G,,5659.593,,331.457,1073.438,-5546.969
Frame 13,G,,5870.281,,611.496,714.487,-5794.461
Frame 13,G,,4954.834,,300.53,246.703,-4939.555
Frame 13,G,,4968.787,,471.498,161.493,-4943.729
Frame 13,G,,4750.922,,494.405,-71.964,-4724.578
Frame 13,G,,5121.255,,610.358,375.804,-5070.847
Frame 13,G,,4778.941,,492.115,-356.687,-4740.134
Frame 13,G,,4979.032,,731.271,-707.411,-4873.969
Frame 13,G,,4944.097,,431.088,-950.493,-4832.683
Frame 13,G,,5101.834,,485.295,-1104.479,-4957.149
Frame 13,G,,5084.554,,718.278,-972.302,-4938.764
Frame 13,G,,5534.967,,1017.968,-1134.802,-5320.885
Frame 13,G,,5660.572,,1335.443,-1159.703,-5377.151
Frame 13,G,,6007.618,,1586.452,-1107.61,-5687.516
Frame 13,G,,5390.123,,1168.299,-876.811,-5188.421
Frame 13,G,,5281.523,,1186.195,-670.152,-5102.776
Frame 13,G,,6021.687,,1674.786,-903.214,-5713.144
Frame 13,G,,6255.495,,1713.012,-1253.361,-5884.377
Frame 13,G,,5943.117,,1577.742,-527.103,-5705.571
Frame 13,G,,5677.359,,1531.59,-291.869,-5459.071
Frame 13,G,,5021.799,,870.944,-445.803,-4925.564
Frame 13,G,,5260.278,,1140.093,-148.347,-5133.099
Frame 13,G,,5464.14,,1338.542,-205.914,-5293.65
Frame 13,G,,5876.432,,1464.834,81.283,-5690.352
Frame 13,G,,5433.552,,1198.863,282.24,-5292.122
Frame 13,G,,5127.859,,749.598,547.806,-5043.109
Frame 13,G,,6098.784,,1542.268,377.988,-5888.438
Frame 13,G,,5818.756,,1449.453,556.973,-5607.744
Frame 13,G,,5797.778,,1426.933,963.75,-5536.179
Frame 13,G,,5587.035,,585.209,969.89,-5470.997
Frame 13,G,,5685.458,,1119.727,737.28,-5525.131
Frame 13,G,,5246.977,,1044.953,358.491,-5129.359
Frame 13,G,,5215.975,,1008.159,93.411,-5116.764
Frame 13,G,,5074.672,,753.423,132.862,-5016.672
Frame 13,G,,4966.651,,815.899,-129.542,-4897.463
Frame 13,G,,5307.705,,1188.194,-459.247,-5152.575
Frame 13,G,,5023.794,,-607.971,-49.517,-4986.625
Frame 13,G,,5721.902,,980.277,967.975,-5553.58
Frame 19,G,,5359.456,,1127.903,-1064.174,-5130.218
Frame 19,G,,5755.417,,1730.639,-873.541,-5419.1
Frame 19,G,,5818.458,,1799.949,-561.56,-5504.479
Frame 19,G,,5821.539,,1815.666,-270.126,-5524.554
Frame 19,G,,6052.227,,1883.44,112.356,-5750.608
Frame 19,G,,6810.483,,1800.123,684.664,-6532.494
Frame 19,G,,6866.591,,1553.811,1103.885,-6596.755
Frame 19,G,,6314.795,,1397.794,791.142,-6107.119
Frame 19,G,,5650.411,,1200.809,232.32,-5516.45
Frame 19,G,,5633.913,,1463.107,-240.925,-5435.279
Frame 19,G,,5901.469,,1256.335,-6.683,-5766.187
Frame 19,G,,5659.761,,1126.441,-497.783,-5524.151
Frame 19,G,,5748.706,,890.103,357.829,-5668.094
Frame 19,G,,5679.946,,753.979,630.91,-5594.216
Frame 19,G,,5947.461,,921.262,-222.922,-5871.446
Frame 19,G,,6118.471,,455.534,-999.478,-6019.072
Frame 19,G,,6465.04,,561.904,-580.866,-6414.328
Frame 19,G,,6766.614,,305.644,-498.38,-6741.31
Frame 19,G,,7219.866,,764.612,1118.286,-7091.634
Frame 19,G,,7129.05,,847.173,1473.47,-6923.478
Frame 19,G,,6337.821,,122.875,171.449,-6334.31
Frame 19,G,,6768.145,,138.267,637.984,-6736.59
Frame 19,G,,6764.468,,177.746,975.575,-6691.389
Frame 19,G,,7111.048,,52.246,1419.925,-6967.645
Frame 19,G,,6728.976,,-329.391,812.236,-6671.649
Frame 19,G,,7511.754,,-508.873,1290.071,-7382.629
Frame 19,G,,6707.101,,-591.855,511.487,-6661.328
Frame 19,G,,6321.615,,-75.225,-34.482,-6321.073
Frame 19,G,,6730.63,,-783.502,-137.113,-6683.465
Frame 19,G,,7262.476,,-1052.82,335.392,-7177.927
Frame 19,G,,6422.335,,-37.782,-1005.491,-6343.024
Frame 19,G,,6093.967,,-201.647,-1204.448,-5970.35
Frame 19,G,,6663.83,,-640.545,-935.177,-6566.717
Frame 19,G,,7305.101,,-1061.545,-1405.073,-7089.668
Frame 19,G,,6647.134,,-503.2,-470.548,-6611.336
Frame 19,G,,6715.347,,1864.508,949.04,-6381.13
Frame 19,G,,6584.782,,1801.373,298.908,-6326.537
Frame 19,G,,7335.463,,-1144.348,795.479,-7201.854
Frame 19,G,,5084.237,,318.167,-1048.492,-4964.766
Frame 19,M,,3573.162,,773.689,-739.689,-3409.069
Frame 19,M,,4456.077,,340.356,-24.328,-4442.994
Frame 19,M,,5720.349,,519.312,238.629,-5691.727
Frame 19,M,,3765.645,,-96.53,-428.239,-3739.97
Frame 19,M,,5525.355,,661.094,1259.18,-5339.191
Frame 19,M,,5819.203,,-330.433,152.345,-5807.816
Frame 19,M,,5160.912,,-767.433,-286.981,-5095.459
Frame 19,M,,4107.681,,-906.589,-243.528,-3998.979
Frame 19,M,,5097.272,,-998.974,441.586,-4978.879
Frame 19,M,,6717.539,,-1644.68,638.916,-6481.678
Frame 19,M,,5888.804,,-1927.273,744.301,-5514.494
Frame 19,M,,5220.86,,-1124.1,-1110.624,-4975.971
Frame 19,M,,4362.977,,-1829.205,-205.66,-3955.665
