	Type	Precision	RMS	Range	Direction	X	Y	Z
0	M	4822	587	3422001	19772	-1147792	-201101	-3217488
1	M	11532	1696	5341550	19937	-1646428	699465	-5033109
2	M	16330	24	6666498	7357	-853651	-108584	-6610725
3	M	14367	834	6202443	13351	89639	1333911	-6056645
4	M	7460	4985	4498123	14284	1108450	-14577	-4359385
5	M	25722	5991	8355234	6751	-676694	-842931	-8285016
6	F	12873	3840	5761645	20317	-1999226	-14246	-5403651
7	F	8483	8218	4597339	23884	-1720093	-777746	-4191887
8	F	10495	3549	5045149	16255	-1216035	-794388	-4831535
9	F	10360	1078	5084919	13448	-1128715	-430959	-4939300
10	F	11074	1533	5200768	14621	-942322	-993425	-5017282
11	F	8232	2720	4481449	14017	-941673	-608427	-4338946
12	F	23498	3066	7911279	7922	-764289	-901315	-7822521
13	F	10654	2936	5317158	8879	292785	-849564	-5240677
14	F	13362	704	5895677	14149	1079190	-1045236	-5701038
15	F	8376	650	4746286	6026	309250	-465221	-4713296
16	F	6493	4161	4120136	15426	996704	-518324	-3964018
17	F	6943	1036	4241380	10941	-241170	702189	-4175891
18	M	16946	5953	6838633	6108	-69332	-831625	-6787525
