	Type	Precision	RMS	Range	Direction	X	Y	Z
443	M	6388	820	4046185	24370	-1652877	-293485	-3681505
444	M	8082	5816	4705175	18428	1423369	-502033	-4456530
445	M	11052	371	5429658	15594	1356101	-622442	-5220608
446	M	15960	2618	6596512	12829	1439530	-372008	-6426767
447	M	12024	865	5767946	8741	874894	-36341	-5701091
448	M	9433	1314	5025059	7145	174244	-678879	-4975940
449	M	14286	903	6355605	3123	49551	-442833	-6339965
450	M	12927	1029	5822202	9521	-952514	-232455	-5739052
451	M	9367	73	4818730	12419	-891318	-602849	-4697051
452	M	11962	2471	5440163	17046	-1535299	-513472	-5193705
453	M	18278	1534	7142059	15821	1871729	428203	-6879119
454	M	19227	2484	7554916	2107	-20413	157811	-7553240
