	Type	Precision	RMS	Range	Direction	X	Y	Z
728	M	17793	785	7071892	16298	1982044	-207926	-6785273
729	M	15409	1558	6504952	11965	1342285	-230261	-6360790
730	M	27333	6405	8593674	13425	1863100	-845832	-8346536
731	M	22011	1772	7629621	11455	1013772	-1244065	-7458933
732	M	7297	2280	4289520	12980	-216133	-1004839	-4164561
733	M	23577	6500	8099935	7792	1047648	-455990	-8018943
734	M	19061	11031	7247944	6759	646318	-670308	-7187882
735	M	9377	6146	5086479	3340	9383	-376376	-5072526
736	M	17605	3440	7151130	1883	197426	-240202	-7144367
737	M	22100	8	7999984	5805	716674	249852	-7963900
738	M	11432	679	5571223	9481	-123452	822433	-5508801
739	M	14296	3621	6289005	8640	-100541	841146	-6231689
740	M	13979	9077	6330709	18794	1995398	327555	-5999081
741	M	9108	2041	4963292	9510	652019	419980	-4902321
742	M	20767	506	7644584	6020	-760031	135103	-7605509
743	M	16220	5057	6373234	17212	-1686229	748311	-6100391
744	M	16609	721	6547180	16886	-1898140	19037	-6265961
745	M	12184	203	5549472	20302	-1906643	-350599	-5199849
