	Type	Precision	RMS	Range	Direction	X	Y	Z
469	M	1784	1718	2125982	20077	598355	-449317	-1989946
470	M	5619	292	3798859	18839	862126	815794	-3608676
471	M	19887	5615	7232238	15628	738373	1692689	-6992487
472	M	4207	1038	3321408	4288	-107417	171571	-3315234
473	M	1869	4211	2111706	4282	139606	40009	-2106707
474	M	4106	476	3151461	15196	-824714	-916	-3041636
475	M	6292	3607	3897373	14664	-890541	-484211	-3763242
476	M	14961	8268	6141886	19394	-2008760	-444255	-5787079
477	M	9728	4862	5083914	9632	-321685	708245	-5024051
