	Type	Precision	RMS	Range	Direction	X	Y	Z
746	M	15086	336	6457428	20635	1974417	-1226860	-6024522
747	M	15535	1309	6626855	16658	1899271	-64495	-6348529
748	M	17576	2995	7011034	8129	472168	762008	-6953488
749	M	12509	553	5756493	11586	-310072	1024599	-5656082
750	M	24269	12171	8042444	10826	-791919	1161403	-7918643
751	M	24197	427	7974349	11632	-1351331	747817	-7823357
752	M	20028	6189	7229873	12521	-1424100	543225	-7067384
753	M	25945	4217	8620493	6984	1045624	-62386	-8556616
754	M	14285	5749	6066922	14787	-1513528	234412	-5870420
755	M	19825	1308	7175663	11370	-1384395	-401980	-7029367
756	M	17866	7684	6699593	12361	-1069817	-1058342	-6528396
757	M	18215	92	6862918	16999	-2004506	-16109	-6563638
758	M	20898	3968	7289969	25476	-2716453	1462229	-6605030
759	M	35067	1417	9834033	6121	-668309	-962391	-9763984
760	M	11597	3659	5644342	16072	1481903	409838	-5430892
761	M	17366	7223	6778204	16309	1427953	1155719	-6524516
762	M	9147	1692	4933494	10464	842694	-380952	-4846040
763	M	29700	5315	8803510	19637	-2891700	494063	-8300347
764	M	24185	5995	7982223	21056	-2867843	-118603	-7448308
