	Type	Precision	RMS	Range	Direction	X	Y	Z
19	M	18841	3609	6946071	22366	-2495922	768215	-6436468
20	M	17684	121	6694072	20331	-2189589	684936	-6288653
21	M	10987	17919	5357418	12336	193847	-1210530	-5215263
22	M	14547	6941	6239373	9509	-988059	196378	-6157512
23	M	20899	1983	7628989	5484	-720332	-232559	-7591345
24	M	16463	14334	6695507	7474	627176	-709002	-6628256
25	M	15715	14497	6470704	13551	1380835	-725420	-6279895
26	M	10545	2483	5411748	15792	1469916	9920	-5208288
27	M	17165	8017	7098827	2423	-146014	150146	-7095737
28	M	22659	5080	7554364	15250	-1249228	1430011	-7311834
29	M	30090	5311	8769187	14222	-1315604	1571610	-8526305
30	M	19024	3224	7179622	11867	441680	1297695	-7047545
31	M	26849	2068	8705464	12180	1812728	161441	-8513111
32	M	30749	3768	9018521	12351	-1792906	572623	-8819938
33	M	32470	3202	9280584	11415	-1588821	777838	-9110425
34	F	23733	10020	8109363	14858	2057388	-425348	-7832497
35	F	17273	680	6810166	11123	-372308	1154242	-6701304
36	M	17814	1028	7214300	4075	-80607	392622	-7203158
37	F	13123	2928	5708157	14219	-749360	-1272241	-5513885
38	F	15910	2249	6640921	5199	-116773	-694687	-6603454
39	F	12350	3221	5754900	6251	-411897	-562550	-5712508
40	M	14377	7848	6127411	8780	-571542	-835859	-6043165
41	F	16248	7438	6446148	11217	-681711	-1152151	-6305604
42	F	15637	5301	6351190	10056	-661854	-988475	-6238789
43	F	10646	2871	5147549	12119	-820838	-782378	-5021092
44	F	14234	2530	5963285	12585	-902371	-1026723	-5804510
45	M	22227	245	7802088	6910	-292800	-1014088	-7730360
46	F	19406	8379	7238955	6830	-515245	-803121	-7175792
47	F	17608	4735	6865776	7346	-792965	-484112	-6802626
48	F	15211	7600	6437565	5564	-462544	-520198	-6399820
49	F	16691	475	6579087	10330	-1120295	-472028	-6465796
50	F	10300	3975	4989767	16307	-1150496	-875130	-4775801
51	F	12414	103	5481564	19985	-1595018	-1064007	-5135305
52	F	12985	5203	5650216	15487	-1366544	-725359	-5434276
53	F	15585	1502	6333963	12235	-1325006	-312398	-6185940
54	F	16889	4168	6537305	15269	-1692453	-415159	-6300762
55	F	21267	1700	7439828	17559	-2232971	115700	-7095879
56	F	18755	741	6962337	19721	-2299405	378590	-6560758
57	G	34190	5228	9482419	19587	-3129883	414658	-8941373
58	G	29284	2283	8803793	20287	-3041092	133590	-8260792
59	G	27879	1165	8582691	20998	-3075541	-127239	-8011707
60	G	22553	1435	7671665	21201	-2768087	-299605	-7148592
61	G	21729	6524	7498086	21531	-2727441	-475787	-6968212
62	G	21099	2068	7372561	22251	-2739569	-644767	-6814227
63	G	16806	1766	6572466	23496	-2534064	-761917	-6016254
64	G	15383	414	6250900	23775	-2369564	-947985	-5706158
65	G	15431	4169	6291272	24969	-2460630	-1089027	-5686777
66	G	14485	4911	6064275	24855	-2302155	-1180904	-5484613
67	G	15680	7274	6236934	23309	-2146010	-1308927	-5707950
68	G	16740	2853	6446374	22495	-2218012	-1172658	-5938101
69	G	16697	4054	6441472	21536	-2193386	-977731	-5977095
70	G	15746	1362	6192292	21073	-1863521	-1309541	-5758200
71	G	15628	1303	6173983	20378	-1868088	-1155279	-5770065
72	G	16494	159	6361431	20021	-1966649	-1029938	-5961487
73	G	17944	5826	6666700	19686	-2104841	-881957	-6263920
74	G	19440	2010	6985193	20448	-2345481	-776913	-6533609
75	G	21576	859	7352108	19011	-2305014	-759922	-6939951
76	G	21998	1481	7454650	17933	-2247606	-577457	-7084252
77	G	22918	1394	7649969	17239	-2248647	-404694	-7300811
78	G	24887	7546	8051197	17691	-2445985	-67494	-7670357
79	G	33322	2562	9338398	19438	-3105997	-240377	-8803447
80	G	26529	8493	8333107	16553	-2352740	191238	-7991790
81	G	23802	5285	7918417	12683	-1652667	417471	-7732770
82	G	30200	6273	8907007	14436	-2153011	407019	-8633287
83	G	23588	3646	7856867	15247	-2047500	157816	-7583745
84	G	21996	78	7582805	14354	-1876991	-12506	-7346814
85	G	21540	2743	7450268	15205	-1949235	-250610	-7186387
86	G	22206	2318	7496667	15043	-1887873	-585252	-7231420
87	G	15146	2085	6057044	19890	-1685631	-1275248	-5676282
88	G	15159	4055	6051354	18959	-1485492	-1378112	-5702018
89	G	14749	1879	5970003	18301	-1381472	-1356610	-5647307
90	G	15365	1906	6115309	16349	-1274964	-1249123	-5849031
91	G	18811	363	6814988	14550	-1344430	-1164199	-6578845
