	Type	Precision	RMS	Range	Direction	X	Y	Z
92	G	23321	233	7699189	11638	-1159062	-1152769	-7523643
93	G	17745	501	6823397	8610	-720596	-830406	-6734235
94	G	18831	4088	7082170	7597	-654534	-780297	-7008555
95	G	21899	988	7701636	7177	-913355	-423511	-7635549
96	G	20268	3340	7159266	12728	-1436751	-761276	-6972180
97	G	19387	2233	6973278	13267	-1417650	-849406	-6774613
98	G	22041	423	7572708	11247	-1439300	-448557	-7421126
99	G	15966	1056	6364050	13155	-618093	-1407561	-6175586
100	G	14612	340	5987644	15692	-972795	-1385650	-5743303
101	G	15202	178	6288233	12528	-283571	-1430992	-6116675
102	G	14775	544	6209231	11660	-279299	-1319307	-6061021
103	G	15822	290	6484644	10198	-158743	-1237770	-6363437
104	G	19255	6768	7153876	9835	-316411	-1291494	-7029215
105	G	23151	725	7969426	6926	-283610	-1043007	-7895787
106	G	18787	357	7116739	9137	402838	-1166688	-7008890
107	G	19884	1455	7351204	8196	450834	-1060773	-7260283
108	G	18796	2724	7166637	7373	487377	-892049	-7094181
109	G	19978	385	7305296	9855	725202	-1132093	-7180515
110	G	19465	3405	7184609	10699	822452	-1161458	-7042244
111	G	16864	4071	6621301	13810	892423	-1405887	-6408486
112	G	20528	966	7563054	4690	-400183	-590429	-7529345
113	G	21366	2839	7785170	3603	-280895	-523178	-7762490
114	G	16144	7051	6528430	9180	-1019652	-313880	-6440666
115	G	22639	5078	7714927	11699	-1561101	-220117	-7552127
116	G	21125	8458	7479484	12172	-1540418	222231	-7315764
117	G	26432	5014	8411846	22155	-3162174	129614	-7793780
118	G	21377	299	7631139	7693	-1019051	-191143	-7560376
119	G	21551	5795	7573954	11067	-1451467	-32981	-7433501
120	G	20234	86	7068314	17775	-1988775	-943527	-6716815
121	G	21981	1230	7402311	16119	-1928604	-822291	-7099192
122	G	18967	8535	7329728	3896	-56315	-610208	-7304067
123	G	18533	733	7222858	4658	186139	-669838	-7189322
124	G	17647	927	6812957	11974	631913	-1369490	-6643912
125	G	30486	4729	8993127	13035	1641689	-1329520	-8741485
126	G	23732	2438	7884092	14004	1355902	-1462886	-7627608
127	G	26490	874	8492474	19030	2410739	-1488909	-8005848
128	G	23121	5678	7903857	17838	2147379	-1236929	-7505313
129	G	26552	2910	8586082	8047	1129976	-543792	-8494013
130	G	21397	5134	7784349	7379	999749	-130062	-7718787
131	G	40252	2044	10247791	16136	-2737164	631227	-9855288
132	G	21057	906	7357098	20710	-2578024	-459120	-6875310
133	G	22369	2731	7498935	14884	-1826218	-726893	-7236752
134	G	34050	5017	9179147	15708	-2068270	-1516961	-8813503
135	G	16050	2231	6268908	21243	-1978523	-1207680	-5824617
136	G	14673	7271	6001555	22562	-1953161	-1306950	-5522292
137	G	23718	2173	8264767	3021	-414653	-263559	-8250150
138	G	21595	4621	7970400	1540	-211655	-92558	-7967051
139	G	17675	41	7190122	582	-63980	-148799	-7188297
140	G	17805	12389	6855718	11131	733592	-1207713	-6708512
141	G	22679	3534	7738931	11903	1124198	-1252531	-7553701
142	G	33368	9216	9446081	14366	2063601	-1255636	-9131998
143	G	37111	2579	10056139	17075	2719273	-1302532	-9593482
144	G	20406	7479	7728873	2123	276490	-196227	-7721433
145	G	21162	4969	7853778	2978	402046	-193729	-7841088
146	G	22548	840	8031590	7439	994615	177706	-7967785
147	G	20926	2440	7890339	1989	195543	67241	-7887629
148	G	19529	696	7607519	677	34559	-37222	-7607349
149	G	20302	764	7734668	3975	-7419	414200	-7723566
150	G	24528	4866	8460959	4822	-280625	520315	-8440281
151	G	26101	6223	8663651	5092	-672341	236710	-8634279
152	G	31241	10377	9337215	7595	-1064655	477731	-9264009
153	G	25617	6331	8696359	4312	523340	255068	-8676849
154	G	24864	5062	8347051	5047	-705588	-334458	-8310448
155	G	21552	3869	7769343	4464	-515518	-438376	-7739816
156	G	16906	9679	6634123	16174	1308985	-1404846	-6350162
157	G	20281	2758	7635160	5213	693401	-98909	-7602965
