	Type	Precision	RMS	Range	Direction	X	Y	Z
218	G	16867	1304	6693394	11142	-107640	-1392482	-6546062
219	G	16374	2501	6582117	12187	286862	-1460949	-6411521
220	G	16774	3076	6657505	12017	389061	-1433101	-6489778
221	G	16883	880	6741563	9647	114238	-1228709	-6627661
222	G	18993	1132	7139821	8182	-354231	-1063902	-7051218
223	G	16546	2469	6685318	8824	241072	-1100932	-6589637
224	G	15988	1501	6578153	8556	150714	-1069618	-6488860
225	G	16697	119	6761312	7109	-22083	-942311	-6695290
226	G	17211	3633	6952287	4614	87929	-661605	-6920176
227	G	16529	4959	6817063	3639	-231852	-472640	-6796705
228	G	18235	2679	6965670	8005	-518637	-928540	-6883995
229	G	19601	4485	7273290	6750	-580077	-741931	-7212059
230	G	19485	3095	7299425	5870	-635465	-506398	-7254058
231	G	19064	782	7253664	5688	-694789	-298496	-7214139
232	G	18605	4259	7045005	9174	-1117684	-221506	-6952252
233	G	20023	2310	7259479	10757	-1346940	-259398	-7128710
234	G	20366	5813	7305057	12045	-1522723	-183867	-7142224
235	G	23066	1929	7721440	13876	-1841570	-313008	-7492082
236	G	23468	1628	7745054	14750	-1942407	-458293	-7483508
237	G	23379	1826	7810260	14224	-1919057	-115327	-7569945
238	G	23879	6915	7890897	17090	-2314922	18170	-7543677
239	G	21826	4669	7589290	12916	-1671602	172027	-7400910
240	G	26063	654	8260828	18359	-2596074	49716	-7842143
241	G	20847	5246	7386673	20809	-2624084	-133131	-6903579
242	G	20445	3988	7263700	19886	-2464006	-290334	-6826838
243	G	22248	2606	7639548	20317	-2651354	-32765	-7164631
244	G	19885	2876	7229032	22394	-2747355	-296979	-6680026
245	G	21032	499	7512687	23158	-2953918	-50051	-6907411
246	G	21019	2651	7484255	11273	-1417501	246469	-7344659
247	G	24184	4376	7928179	12810	-1524096	753569	-7743726
248	G	20781	3776	7484686	9310	-966907	612201	-7396676
249	G	19834	1271	7475926	4836	-630167	-124918	-7448271
250	G	16186	115	6508277	12686	607580	-1393849	-6328167
251	G	16670	4183	6618415	11705	688463	-1255003	-6461765
252	G	17530	4695	6841200	9830	857271	-899639	-6727388
253	G	16988	4705	6790627	7842	657657	-758769	-6715979
254	G	17197	4503	6691507	13970	1088477	-1296058	-6473926
255	G	18880	3426	7075863	11204	1060178	-984850	-6926322
256	G	18179	354	6913532	16599	1562055	-1312948	-6605534
257	G	20020	1217	7449093	16896	2113794	-580707	-7119245
258	G	21176	1434	7708401	17177	2250021	-462153	-7358211
259	G	21752	3726	7835483	18012	2386069	-538113	-7443917
260	G	21858	1933	7855446	16669	2246819	-289122	-7521718
261	G	22463	5778	7821561	9255	1122704	-689181	-7709823
262	G	24731	2310	8316628	7721	1084022	-401123	-8235915
263	G	31071	1302	9390788	9601	1563113	-47385	-9259662
264	G	21064	2260	7655765	14029	1852192	-233123	-7424673
265	G	23686	4889	8158848	13453	1895944	-33401	-7935432
266	G	25526	1062	8708578	1308	-190217	-79818	-8706134
267	G	24337	5381	8371211	3883	499872	-399099	-8346737
268	G	53233	5237	12399632	16090	3399517	314039	-11920383
269	G	22012	5039	7821384	7344	-694013	597159	-7767612
270	G	20374	5147	7309807	9670	-1164431	-503082	-7198908
271	G	19704	3275	7108117	24506	-2742910	-1183316	-6449925
272	G	22852	2447	7703545	15011	-1919263	427620	-7448368
273	G	25892	2380	8206850	18629	-2567951	404763	-7784227
274	G	25194	5004	8023369	17526	-2272188	700755	-7662934
275	G	20886	3272	7409116	11168	-1001591	912768	-7284139
