	Type	Precision	RMS	Range	Direction	X	Y	Z
158	F	11292	7154	5628705	19453	1803931	-593371	-5298685
159	F	8978	7797	4988625	16635	1427800	-106009	-4778758
160	F	9138	5613	4883904	10143	503139	-773412	-4795957
161	F	12733	1442	5985124	2748	-111388	-358841	-5973319
162	F	14098	6904	5930450	13077	-831198	-1144407	-5759313
163	F	14296	11643	6108443	8569	-686060	-693457	-6030051
164	F	13177	10529	5676926	16986	-1503769	-785102	-5417544
165	F	19995	3675	7213718	10284	-1216904	-533444	-7090297
166	F	22527	740	7596226	13279	-1700487	-507432	-7386035
167	F	9795	5908	4935783	23157	-1804693	-786173	-4526253
168	F	14922	2765	6180700	23715	-2386752	-783902	-5647119
169	F	20856	2382	7394871	21041	-2621774	309778	-6907565
170	F	17948	10641	6881268	21793	-2550712	41384	-6390931
171	F	20397	498	7370389	22454	-2800884	174768	-6815214
172	F	22704	44	7725550	20255	-2666280	95632	-7250236
173	M	5372	895	3841640	19506	1223854	-441409	-3614628
174	M	12306	1931	5729526	12999	1208404	-536145	-5574924
175	M	11594	3074	5589374	10586	374133	869334	-5508664
176	M	9218	4606	4883803	17531	985595	1018425	-4673643
177	M	20487	149	7663937	6592	852839	95707	-7615736
178	M	18037	13807	7302189	1871	-59433	115558	-7301033
179	M	19483	4373	7489961	3192	-415363	-79895	-7478008
180	M	18710	1074	7005574	14631	-396867	1617240	-6804785
181	M	24094	6336	7786342	15892	-1184936	1654026	-7515800
182	M	18383	669	6873375	23523	-2570915	857527	-6316513
183	M	7429	975	4443927	6477	192766	-532443	-4407701
184	M	20994	11941	7541490	9189	-1196012	23091	-7446012
185	M	19392	2167	7043052	18472	-2221524	-316894	-6676001
186	M	22740	5173	8001310	8968	67971	1120453	-7922179
187	M	19622	271	7217086	15662	1464947	1174581	-6968545
188	M	9553	3250	4930146	21991	-1833830	-284939	-4567518
189	G	18292	5460	6699342	20792	-2094455	-1225074	-6244488
190	G	18770	611	6775716	18018	-1837984	-1108715	-6426732
191	G	17197	1067	6464657	19342	-1792512	-1267287	-6080516
192	G	17822	0	6586204	17853	-1684308	-1212498	-6250683
193	G	17437	378	6516368	21066	-1918069	-1440254	-6058856
194	G	17817	1565	6588049	16754	-1467640	-1304750	-6288565
195	G	17855	3477	6632240	14710	-1259378	-1219348	-6396387
196	G	18281	1498	6702443	15171	-1364412	-1204324	-6450638
197	G	18559	657	6811654	23712	-2396510	-1425121	-6214854
198	G	20284	1179	7116558	20076	-2322105	-863954	-6671342
199	G	19930	3184	7053366	18539	-2150072	-743248	-6676433
200	G	20012	5126	7110171	19408	-2311705	-593915	-6697598
201	G	19912	2546	7089238	18172	-2168109	-539474	-6727969
202	G	18615	1692	6767733	16285	-1682763	-979809	-6481550
203	G	19298	1710	6937566	14740	-1624603	-796005	-6697526
204	G	18087	1427	6747640	14461	-1614312	-586237	-6525409
205	G	24783	3557	7962816	16151	-2194853	-418425	-7642903
206	G	21600	9	7445694	13070	-1646417	-467446	-7246321
207	G	20536	2130	7228771	12228	-1410912	-706031	-7054500
208	G	19637	4911	7055773	11807	-1224444	-873799	-6893558
209	G	19883	1040	7136257	10929	-1167237	-794825	-6995139
210	G	19197	3043	7022744	10386	-957303	-937509	-6893735
211	G	17473	3477	6598957	13768	-959485	-1344353	-6388923
212	G	16810	431	6522247	12497	-749360	-1296414	-6348029
213	G	16897	3516	6556035	11733	-747348	-1205217	-6400822
214	G	15752	708	6406844	11609	-338435	-1342954	-6255364
215	G	15809	982	6445401	10842	-280332	-1279353	-6310932
216	G	15760	1103	6438441	12496	-130271	-1486039	-6263245
217	G	16522	3004	6627693	11718	50644	-1447451	-6467506
