Type	RMS	Range	Direction	X	Y	Z
G		7169.169		1937.626	1251.629	-6787.932
G		6881.897		1879.033	1389.461	-6472.954
G		7360.599		2115.2	1048.688	-6971.7
G		6115.66		1922.174	428.409	-5789.906
G		5520.424		1314.609	382.821	-5347.928
G		5589.552		1258.177	837.074	-5381.393
G		5991.015		1497.705	-118.507	-5799.577
G		6868.984		1637.745	-538.665	-6649.103
G		5791.479		896.465	219.208	-5717.476
G		6315.43		1154.583	-235.074	-6204.542
G		6764.168		1074.959	-506.22	-6658.992
G		6582.902		604.608	-313.012	-6547.601
G		8816.468		2398.42	-1622.832	-8327.311
G		8478.298		1459.349	-1646.104	-8187.929
G		5746.047		561.668	534.174	-5693.526
G		5803.922		342.849	477.529	-5774.074
G		5842.583		435.434	966.082	-5745.682
G		5863.138		-38.626	952.706	-5785.088
G		7767.064		-299.191	1621.151	-7590.101
G		5993.774		-192.218	747.043	-5943.93
G		6290.796		-205.46	510.912	-6266.647
G		7288.013		-177.285	35.357	-7285.771
G		7703.64		-426.412	-343.85	-7684.14
G		8634.767		-1160.308	152.437	-8555.095
G		8388.944		-1145.669	577.51	-8290.253
G		8165.277		-264.455	-1079.638	-8089.264
G		8568.32		895.392	-1172.007	-8440.425
G		7964.921		-49.732	-1377.24	-7844.788
G		8433.204		-1047.351	-1473.534	-8237.153
G		9019.31		-2256.989	-1080.572	-8665.236
G		8457.547		-1798.857	68.633	-8263.747
G		9288.546		-2310.59	520.108	-8981.522
G		7489.673		-671.873	1600.209	-7285.817
G		8055.25		-1202.848	-506.015	-7948.846
G		7925.487		-1332.957	1651.494	-7636.042
G		7836.009		61.556	-387.192	-7826.195
G		5888.014		401.444	170.243	-5871.845
M		4266.081		1203.222	13.761	-4092.861
M		4805.868		762.789	-602.385	-4706.554
M		3826.596		416.946	-794.655	-3719.881
M		6784.834		-259.037	-1328.571	-6648.442
M		4006.736		612.917	416.894	-3937.571
M		3891.086		-366.694	-336.378	-3859.136
M		5032.63		-445.51	859.136	-4938.701
M		4750.66		-1838.534	-449.547	-4357.346
