	Type	Precision	RMS	Range	Direction	X	Y	Z
455	M	5764	363	3998136	19267	1264273	317188	-3779696
456	M	13507	4652	6000898	16841	1430924	896648	-5758407
457	M	9145	4209	4867908	14532	656476	955476	-4727857
458	M	11091	5532	5437074	11828	790561	701408	-5333368
459	M	6510	5242	4209398	5926	269362	274866	-4191768
460	M	17138	5058	7007502	6223	122378	639524	-6977186
461	M	12903	3677	6005732	5249	-473113	184910	-5984212
462	M	19701	761	7097305	13798	-1418746	814248	-6906222
463	M	7986	5093	4494689	13744	-1062269	39978	-4367174
464	M	9674	312	5051963	24532	-2068037	278219	-4600885
465	M	12504	3165	5647079	19464	-1880202	-158228	-5322529
466	M	20571	1141	7270108	12000	-1450385	-537740	-7103639
467	M	4821	1716	3489386	10186	78863	-666174	-3424297
468	M	6526	2590	4007415	23716	-1478197	-700390	-3658382
