	Type	Precision	RMS	Range	Direction	X	Y	Z
394	M	7868	3113	4534147	13034	716124	660070	-4428314
395	M	8219	1727	4652853	10605	-188418	762985	-4585999
396	M	16494	747	6497660	13003	-1122373	836804	-6345047
397	M	10646	1705	5189129	22751	-1894640	585756	-4795236
398	M	10972	527	5300843	23923	-2085214	-598473	-4836595
399	M	8950	3530	4665801	15364	-1104688	-625825	-4489733
400	M	8143	5368	4739029	2859	-236325	-68742	-4732633
401	M	4011	1433	3211946	3950	-26079	-270300	-3200446
402	M	8083	606	4562220	11687	454413	-875157	-4454375
403	M	11429	5647	5737099	2355	164220	78591	-5734210
404	F	5774	20002	3848404	19425	856773	893355	-3643909
405	F	10031	19958	5241090	19885	1563554	778363	-4941505
406	F	9376	881	4988654	14639	1067963	593748	-4836692
407	F	9335	10798	5086918	16735	1432229	229809	-4875720
408	F	9337	18948	5037485	13524	1131032	252060	-4902397
409	F	8754	474	4877600	10772	882154	154317	-4794681
410	F	8026	649	4593687	11780	313930	812613	-4510329
411	F	4719	1204	3442304	15479	459266	743187	-3329595
412	F	5697	8532	3775969	12389	-397249	647738	-3698726
413	F	14335	6984	6305020	8254	568658	605569	-6250056
414	F	5992	10154	4030305	5489	110577	305945	-4017154
415	F	8463	1421	4865792	4394	303055	140497	-4854312
416	F	10499	2063	5422432	4058	372922	-175801	-5406736
417	F	9190	3415	5095712	2269	-116965	83967	-5093678
418	F	10251	10652	5338937	5017	-331173	245153	-5323013
419	F	16676	5750	6857212	5887	-434901	444929	-6828928
420	F	10191	3363	5239141	6330	-576296	-121966	-5205921
421	F	10103	3623	5200015	8042	-597668	333405	-5154783
422	F	20463	4083	7223732	14586	-912850	1462931	-7014901
423	F	20051	2809	7160592	13487	-1078320	1165121	-6982391
424	F	12267	4561	5558222	17112	-1544193	454802	-5320005
425	F	16389	880	6444821	24450	-2387251	1097361	-5884943
426	F	11935	3127	5570794	23611	-2168001	446841	-5112128
427	F	13798	2924	5995074	21301	-2170976	83966	-5587551
428	F	5951	7047	3966028	5021	25036	-408544	-3944850
429	F	8073	3306	4581120	10152	517915	-690648	-4499048
430	F	11690	4090	5565116	8994	-136393	-945893	-5482445
431	F	3042	2607	2706309	24469	-1050230	-430670	-2456756
432	F	16676	13788	6463231	18831	-2029547	-579436	-6108890
