Type	RMS	Range	Direction	X	Y	Z
G		5359.456		1127.903	-1064.174	-5130.218
G		5755.417		1730.639	-873.541	-5419.1
G		5818.458		1799.949	-561.56	-5504.479
G		5821.539		1815.666	-270.126	-5524.554
G		6052.227		1883.44	112.356	-5750.608
G		6810.483		1800.123	684.664	-6532.494
G		6866.591		1553.811	1103.885	-6596.755
G		6314.795		1397.794	791.142	-6107.119
G		5650.411		1200.809	232.32	-5516.45
G		5633.913		1463.107	-240.925	-5435.279
G		5901.469		1256.335	-6.683	-5766.187
G		5659.761		1126.441	-497.783	-5524.151
G		5748.706		890.103	357.829	-5668.094
G		5679.946		753.979	630.91	-5594.216
G		5947.461		921.262	-222.922	-5871.446
G		6118.471		455.534	-999.478	-6019.072
G		6465.04		561.904	-580.866	-6414.328
G		6766.614		305.644	-498.38	-6741.31
G		7219.866		764.612	1118.286	-7091.634
G		7129.05		847.173	1473.47	-6923.478
G		6337.821		122.875	171.449	-6334.31
G		6768.145		138.267	637.984	-6736.59
G		6764.468		177.746	975.575	-6691.389
G		7111.048		52.246	1419.925	-6967.645
G		6728.976		-329.391	812.236	-6671.649
G		7511.754		-508.873	1290.071	-7382.629
G		6707.101		-591.855	511.487	-6661.328
G		6321.615		-75.225	-34.482	-6321.073
G		6730.63		-783.502	-137.113	-6683.465
G		7262.476		-1052.82	335.392	-7177.927
G		6422.335		-37.782	-1005.491	-6343.024
G		6093.967		-201.647	-1204.448	-5970.35
G		6663.83		-640.545	-935.177	-6566.717
G		7305.101		-1061.545	-1405.073	-7089.668
G		6647.134		-503.2	-470.548	-6611.336
G		6715.347		1864.508	949.04	-6381.13
G		6584.782		1801.373	298.908	-6326.537
G		7335.463		-1144.348	795.479	-7201.854
G		5084.237		318.167	-1048.492	-4964.766
M		3573.162		773.689	-739.689	-3409.069
M		4456.077		340.356	-24.328	-4442.994
M		5720.349		519.312	238.629	-5691.727
M		3765.645		-96.53	-428.239	-3739.97
M		5525.355		661.094	1259.18	-5339.191
M		5819.203		-330.433	152.345	-5807.816
M		5160.912		-767.433	-286.981	-5095.459
M		4107.681		-906.589	-243.528	-3998.979
M		5097.272		-998.974	441.586	-4978.879
M		6717.539		-1644.68	638.916	-6481.678
M		5888.804		-1927.273	744.301	-5514.494
M		5220.86		-1124.1	-1110.624	-4975.971
M		4362.977		-1829.205	-205.66	-3955.665
