	Type	Precision	RMS	Range	Direction	X	Y	Z
276	G	15112	3406	6415424	20341	1847866	1153304	-6034314
277	G	11553	9191	5573588	18505	1497874	857574	-5299606
278	G	11182	5081	5505883	15855	1375626	524858	-5305368
279	G	12287	1615	5810859	12770	1239101	248492	-5671769
280	G	11313	1838	5622221	18904	1713490	533765	-5328079
281	G	11098	5611	5613270	19738	1805244	495199	-5291944
282	G	13186	2771	5940079	19177	1569054	1071250	-5628058
283	G	11619	465	5565247	17566	1391359	856889	-5319947
284	G	11549	1147	5558540	17089	1389523	774629	-5326025
285	G	11817	814	5727666	15613	1511912	213353	-5520394
286	G	13117	1897	6095770	17600	1842482	-140773	-5808946
287	G	12375	3509	5905872	16845	1703045	80288	-5654425
288	G	11805	2743	5709982	13985	1365452	111447	-5543196
289	G	13965	2111	6263942	17507	1873035	-300327	-5969801
290	G	14555	861	6321295	15349	1650559	-370849	-6090722
291	G	13682	1247	6123688	12213	1291462	-195435	-5982766
292	G	14052	349	6294281	6798	734323	27085	-6251241
293	G	16501	969	6689775	15580	1716984	-631299	-6434790
294	G	17426	1420	6846596	13304	1484135	-634076	-6653658
295	G	17810	9981	6973315	9537	1097808	-468779	-6870385
296	G	17121	7338	6803284	11005	1223648	-540453	-6670477
297	G	16577	1396	6769906	8338	961329	-305026	-6694359
298	G	23421	839	8081222	6051	594743	-736662	-8025569
299	G	21825	937	7832707	5638	663099	-513590	-7787672
300	G	21057	7891	7887488	3669	307915	275645	-7876654
301	G	12314	2681	5821995	8688	664549	485033	-5763570
302	G	12063	922	5674803	12850	996374	687132	-5544229
303	G	13931	2647	6057189	14238	984967	1024813	-5888051
304	G	13985	956	6101273	12626	522081	1133026	-5972371
305	G	12537	5274	5807892	11227	827234	680925	-5708208
306	G	12161	755	5793873	10586	1044212	116610	-5697805
307	G	13072	3919	5840439	17709	1207340	1215265	-5583564
308	G	20252	5950	7427789	21342	2123909	1562745	-6943982
309	G	20334	13396	7398333	20227	1987315	1500620	-6966639
310	G	24020	995	8029274	14362	431938	1821192	-7808069
311	G	23306	57	7940577	13112	395902	1634989	-7760338
312	G	21658	5134	7689820	11794	337216	1416102	-7550779
313	G	28804	2726	8657308	14564	-777263	1900962	-8410183
314	G	25235	4559	8128890	12583	-844317	1431257	-7957229
315	G	24051	5582	8109478	9915	-459039	1192468	-8008179
316	G	13970	742	6295242	6136	327185	489082	-6267680
317	G	21241	1768	7800918	3541	296009	-503124	-7779047
318	G	20276	3910	7766850	1931	153634	89265	-7764817
319	G	25273	941	8236448	9954	690456	-1373001	-8091799
320	G	29112	2507	8809804	11170	1272935	-1273199	-8623877
321	G	22147	4540	7840948	6711	161065	-1024922	-7772005
322	G	21392	2543	7621557	9111	270155	-1294968	-7505878
323	G	22055	5045	7713424	8894	-258404	-1284369	-7601351
324	G	22054	2424	7808439	6642	-138544	-1014905	-7740962
325	G	21464	2985	7859074	3016	72667	-530962	-7840780
326	G	20706	9909	7752642	2073	58395	-396581	-7742272
327	G	19062	772	7444193	2290	265616	-251264	-7435208
328	G	22061	1195	7960952	4851	-560162	248031	-7937346
329	G	28567	4479	8800860	10152	-1485141	311204	-8669063
330	G	24913	2256	8277055	5804	-646289	-661965	-8225191
331	G	26161	4277	8340076	8622	-1154149	-610910	-8237208
332	G	32741	1540	9127897	12174	-1638592	-1150802	-8905569
333	G	41252	2773	10499206	12428	-2257554	-65546	-10253413
334	G	23150	6723	8067027	5456	-767010	-127278	-8029472
335	G	30736	9834	8984593	11791	-1452601	983847	-8811634
336	G	20712	1786	7771615	4860	-123708	524302	-7752922
337	G	29047	7554	8757296	11485	-480593	-1811382	-8554424
338	G	31238	11555	8984703	10746	-1084708	-1415876	-8805884
339	G	53074	9384	11498675	19205	-3444043	-1735077	-10832710
340	G	40931	483	10285456	14755	-2589937	-550365	-9938809
341	G	25126	5555	8108754	15796	1589225	-1654811	-7777394
342	G	24464	5292	8225648	5658	-432550	-815111	-8173725
343	G	20369	2342	7726974	2670	-298340	79514	-7720803
344	G	28805	9148	8568451	14206	-1460794	1381149	-8329278
345	G	35257	2764	9649910	11086	-1832260	-442479	-9464027
346	G	47962	11213	10965066	15658	-2701356	-1375176	-10537753
347	G	27573	12730	8508553	13164	1093462	-1730445	-8258655
348	G	24173	6738	8044224	11059	466189	-1595391	-7870637
349	G	27975	8609	8607429	12804	678442	-1915173	-8364190
350	G	30962	5963	9163438	11214	93274	-1921287	-8959272
351	G	30259	5148	8847158	13026	-712261	-1998394	-8589023
352	G	42009	573	10202048	15698	-1864929	-2189818	-9788183
353	G	42136	4199	10274110	14034	-1724331	-1955388	-9937831
354	G	60080	2949	12155486	19172	-3229699	-2527241	-11442811
355	G	44338	9503	10589684	17228	-3017951	-1013275	-10099834
356	G	22351	4756	7942788	8637	117947	1062816	-7870476
357	G	20100	3222	7277229	15085	1552655	-1195346	-7008458
358	G	28231	3471	8707331	18479	2292883	-1666162	-8233116
359	M	6208	341	4197652	20164	1424298	-317141	-3935870
360	M	8166	4440	4613313	10676	676650	-593589	-4524650
361	M	5997	943	3991671	10606	685392	202492	-3927171
362	M	8485	1079	4770526	7850	-304988	501047	-4734327
363	M	5337	2975	3731128	6188	-395416	14913	-3710086
364	M	18723	1525	6911369	12072	-725300	-1356872	-6737942
365	M	16244	1453	6525449	12995	-472955	1288406	-6379483
366	M	7274	3054	4347739	25149	-1821481	-371982	-3930225
367	M	7743	1733	4483795	24720	-1827076	357160	-4079050
368	F	7844	1848	4578461	16826	1178687	536663	-4391468
369	F	8967	3397	4892406	15195	1133024	525825	-4730264
370	F	8637	779	4747964	13929	802424	741000	-4620627
371	F	10710	74	5386562	13443	1156084	398481	-5245925
372	F	9197	11628	4999496	10097	801536	276858	-4927052
373	F	8220	1387	4783037	17143	1409694	-50362	-4570303
374	F	10789	1929	5434656	13785	1294453	-119329	-5276897
375	F	8613	15	4831350	12437	1040459	-60876	-4717593
376	F	10543	67	5316743	12444	1110024	-365515	-5186714
377	F	7799	3055	4637746	5847	418364	146660	-4616508
378	F	5989	473	4052952	2026	115501	20783	-4051253
379	F	14493	28659	6278663	10092	590115	830844	-6195407
380	F	6662	4052	4186637	10307	346403	599075	-4129049
381	F	8806	3344	4876214	8944	375394	582472	-4826724
382	F	14958	1659	6380252	10939	253366	1084821	-6282244
383	F	9445	211	5058388	9290	92737	732336	-5004235
384	F	11504	2189	5504822	14538	-6862	1297459	-5349731
385	F	8536	1067	4676394	13666	-309050	988837	-4560191
386	F	11212	885	5428973	12229	-278131	1031929	-5322735
387	F	8062	2304	4735011	1279	-100116	-108491	-4732709
388	F	6856	1631	4327233	1857	-99708	-166887	-4322863
389	F	5362	7335	3756408	5238	-333780	19695	-3741498
390	F	13468	711	5915907	12267	-1182175	335785	-5786853
391	F	13163	1240	5726292	18790	-1683889	666989	-5432317
392	F	9972	1722	5094947	24099	-2027113	394037	-4657686
393	F	6523	2478	4093588	26332	-1696989	-703830	-3658184
