	Type	Precision	RMS	Range	Direction	X	Y	Z
533	F	8821	1128	4927169	19497	1526760	-684160	-4634428
534	F	6043	1935	4076370	19215	1285688	-443923	-3842751
535	F	3802	349	3086447	11813	508427	-422789	-3014782
536	F	7036	2150	4309356	11934	859758	-300772	-4211995
537	F	3454	2094	2949147	9568	441428	-259024	-2904396
538	F	3957	1301	3130588	11934	127248	-683039	-3052515
539	F	3101	2300	2761544	9792	273883	-424471	-2714947
540	F	6664	21	4039094	12214	-635713	-633283	-3938159
541	F	7704	2451	4616787	18284	1385061	354487	-4389837
542	F	7090	4905	4362024	12969	939857	206642	-4254553
543	F	8021	3449	4616003	14278	1000607	472324	-4481426
544	F	6812	6383	4167752	16923	711078	919814	-4002307
545	F	10032	7053	5091509	15706	601487	1162565	-4920378
546	F	8400	4352	4668323	14181	716602	819761	-4539572
547	F	9391	720	4994793	11709	198062	916772	-4905941
548	F	6777	15459	4258450	8419	185546	528662	-4221432
549	F	6673	5740	4298421	2732	38307	133470	-4296177
550	F	7319	1250	4372911	7179	-533717	-185808	-4336240
551	F	6249	113	4060682	6051	-424594	-9353	-4038412
552	F	5609	3575	3849901	5697	-333760	125588	-3833349
553	F	7974	3892	4562698	9224	-562388	396456	-4510516
554	F	8129	1205	4656826	7139	-547189	115371	-4623126
555	F	4906	1174	3505425	10674	-593255	209469	-3448503
556	F	6216	9042	3953026	12424	-842564	54593	-3861803
557	F	10287	4404	5145377	12299	-1094681	-24909	-5027520
558	F	5467	5240	3676327	14430	-909235	56148	-3561674
559	F	11979	5789	5486753	16627	-1464050	483803	-5265639
560	F	12171	21589	5493901	15923	-1220365	800996	-5296419
561	F	10613	4104	5164790	14795	-627432	1081055	-5011258
562	F	11719	1625	5387989	15636	-943929	1021521	-5205374
563	F	17847	10161	6626459	17724	-1320476	1425240	-6335218
564	F	31385	4480	9099444	14889	-2316821	176059	-8797797
565	F	10886	3141	5255588	18857	-1665503	255412	-4978160
566	F	11315	4221	5450239	23605	-2152648	280257	-4999267
567	F	8332	1439	4699677	24966	-1982758	-125255	-4259102
568	F	11441	1162	5432032	23662	-2142661	-480911	-4968370
569	F	5916	52	3790720	15172	-959061	-311592	-3654130
570	F	7976	1576	4412812	21917	-1517506	-705146	-4083240
571	F	9087	1799	4747580	23278	-1733060	-787496	-4349238
572	F	5359	12856	3667509	26323	-1428470	-829226	-3274519
