	Type	Precision	RMS	Range	Direction	X	Y	Z
478	M	3609	4498	3158545	20076	1060651	-271577	-2962713
479	M	6823	9745	4308428	5166	386510	-101176	-4289864
480	M	5711	7943	3909790	7324	420775	205925	-3881624
481	M	16636	9764	6583408	17342	1182377	1466733	-6308086
482	M	8295	4113	4611744	12685	-356973	876507	-4513589
483	M	4459	4225	3391785	8085	-109427	411246	-3364982
484	M	9064	1744	4711783	16174	-989644	790593	-4538333
485	M	11013	89	5238721	24220	-1885499	955763	-4793288
486	M	4487	7606	3386803	25134	-1417473	196570	-3069619
487	M	6548	1930	4146143	26317	-1777937	407794	-3723325
488	M	6360	997	3967912	12279	-815778	-277049	-3873251
489	M	9260	7957	4746627	20274	-1516723	-706399	-4441961
490	M	3531	6004	2941421	12877	123245	-689016	-2856926
