	Type	Precision	RMS	Range	Direction	X	Y	Z
611	F	10869	2735	5136196	16636	-1287754	-787548	-4909375
612	G	18568	1946	6865189	25093	-2554020	1299418	-6238534
613	G	15826	646	6375485	25109	-2469511	1013437	-5789756
614	G	15174	4947	6268423	24608	-2453883	799537	-5712471
615	G	15881	5827	6378635	22590	-2326637	675258	-5900659
616	G	17747	712	6691751	22599	-2346227	954879	-6193784
617	G	18106	3967	6733764	20568	-2149147	889177	-6319344
618	G	17803	3017	6715611	20267	-2188293	689608	-6311517
619	G	16404	3569	6539838	21295	-2344534	283605	-6098542
620	G	15992	3192	6465572	21273	-2328931	185498	-6028706
621	G	17531	1724	6840875	23036	-2669134	104544	-6297806
622	G	16423	5577	6583854	22181	-2475538	127919	-6099384
623	G	17404	6440	6731683	20197	-2322542	-15470	-6318316
624	G	16102	223	6455738	20611	-2271424	-168219	-6040603
625	G	12447	1573	5684105	22503	-2170262	-233980	-5248263
626	G	10394	1789	5129985	22386	-1914942	-462102	-4736688
627	G	9728	4526	5005296	24493	-2018471	-553421	-4546700
628	G	10169	4035	5097089	24522	-2020710	-699309	-4626880
629	G	10397	5762	5147382	25232	-2024637	-919264	-4642342
630	G	10726	542	5224741	25736	-2018799	-1109297	-4689544
631	G	10846	239	5171344	22945	-1802092	-978808	-4747336
632	G	10408	3494	5074287	21529	-1763435	-672600	-4710233
633	G	10988	952	5152226	19082	-1461252	-914520	-4855289
634	G	10474	1495	5044110	18867	-1486545	-746704	-4761897
635	G	10322	639	5024107	18200	-1478285	-601795	-4763840
636	G	10259	1587	5026832	18246	-1517656	-492332	-4766904
637	G	9981	2689	4985558	18111	-1530619	-318026	-4734116
638	G	14664	45	6116898	16310	-1716119	-170506	-5868756
639	G	14544	6005	6105209	17070	-1791941	-66438	-5835933
640	G	15535	6121	6323264	18226	-1951338	226937	-6010361
641	G	10958	5095	5138195	17239	-1190004	-1027510	-4891745
642	G	11002	1745	5163787	16093	-1177075	-892680	-4947960
643	G	10219	780	4984583	15376	-863312	-1076477	-4789776
644	G	10278	1078	5043965	12719	-774778	-873241	-4907011
645	G	9553	2236	4855665	13906	-622206	-1061601	-4697163
646	G	9871	7366	5031739	9736	-433315	-810550	-4947085
647	G	10889	4972	5122064	20589	-1472211	-1113326	-4777933
648	G	12491	5716	5538504	15002	-1266286	-756724	-5338437
649	G	12194	1106	5510139	13922	-1241449	-549497	-5340270
650	G	12238	1675	5556092	13101	-1218360	-404417	-5405756
651	G	11033	670	5341587	12410	-1137141	74521	-5218611
652	G	14377	4002	6041717	16329	-1607395	457581	-5805966
653	G	12743	1788	5672373	14692	-1275120	579330	-5496750
654	G	9382	368	4925505	10309	-880113	-124783	-4844629
655	G	8982	2417	4773413	10155	-760811	-434031	-4692362
656	G	9346	5711	4858635	10298	-702305	-586410	-4771711
657	G	10408	2285	5087412	12164	-854182	-726194	-4962336
658	G	9774	2848	4973558	12601	-376549	-1094108	-4837087
659	G	8912	181	4802322	12501	48463	-1112258	-4671491
660	G	9001	1676	4843942	10278	-55510	-937631	-4752004
661	G	9084	20	4916491	7215	-56540	-691796	-4867248
662	G	8702	782	4838855	5195	-133368	-493412	-4811785
663	G	8599	3473	4747849	6848	-387507	-487134	-4706868
664	G	8805	3824	4836337	6109	-474174	-275964	-4805118
665	G	8525	2538	4819745	3747	-108358	-371674	-4804171
666	G	8528	3105	4847480	2541	-127096	-249753	-4839373
667	G	8888	7206	4970585	2250	-189468	-125282	-4965392
668	G	9614	1560	5131742	5371	-456112	69983	-5110953
669	G	10311	984	5223573	9190	-771143	236771	-5160910
670	G	9573	4182	5016438	9526	-806795	117739	-4949735
671	G	10345	3923	5233675	9036	-696313	355062	-5174981
672	G	9848	3694	5167753	6971	-451183	354570	-5135794
673	G	9770	6646	5182417	6462	-249293	445869	-5157179
674	G	12297	4475	5555184	14422	-1108170	743402	-5392530
675	G	12889	2401	5652508	15816	-1167170	919494	-5453723
676	G	11495	1060	5392674	13595	-739074	946925	-5257189
677	G	11172	5099	5362154	12082	-611806	858049	-5257579
678	G	11091	4928	5410913	9544	-614868	568997	-5345667
679	G	11361	2912	5392517	12214	-916735	595759	-5280522
680	G	11228	6047	5219467	22076	-1609291	-1198029	-4818479
681	G	11806	3068	5509489	13564	-487410	1112013	-5374042
682	G	10319	6327	5291577	8674	-170236	696919	-5242719
683	G	10299	1687	5311634	8350	255407	644795	-5266162
684	G	9297	3067	5138290	2492	-17182	141696	-5136307
685	G	9436	1960	5176353	2311	176969	28954	-5173246
686	G	8997	253	5010268	2228	126572	-227130	-5003517
687	G	11397	4367	5478521	12757	-211379	1106571	-5361438
688	G	11559	4725	5537272	13521	83565	1206721	-5403538
689	G	10313	1168	5287166	9761	92241	809271	-5224050
690	G	12016	604	5659593	12317	331457	1073438	-5546969
691	G	12697	362	5870281	9923	611496	714487	-5794461
692	G	8789	2740	4954834	5123	300530	246703	-4939555
693	G	8895	1364	4968787	6110	471498	161493	-4943729
694	G	8217	1432	4750922	5973	494405	-71964	-4724578
695	G	9600	359	5121255	8555	610358	375804	-5070847
696	G	8485	382	4778941	6815	492115	-356687	-4740134
697	G	9506	2288	4979032	11181	731271	-707411	-4873969
698	G	9419	1388	4944097	11369	431088	-950493	-4832683
699	G	10078	4020	5101834	12855	485295	-1104479	-4957149
700	G	10025	3313	5084554	13037	718278	-972302	-4938764
701	G	11855	140	5534967	15326	1017968	-1134802	-5320885
702	G	12217	2964	5660572	17627	1335443	-1159703	-5377151
703	G	13533	1860	6007618	18284	1586452	-1107610	-5687516
704	G	11123	9130	5390123	15197	1168299	-876811	-5188421
705	G	10584	2343	5281523	14525	1186195	-670152	-5102776
706	G	13441	7581	6021687	18008	1674786	-903214	-5713144
707	G	14556	5273	6255495	19314	1713012	-1253361	-5884377
708	G	13008	9359	5943117	15990	1577742	-527103	-5705571
709	G	11729	1411	5677359	15795	1531590	-291869	-5459071
710	G	9509	2614	5021799	10852	870944	-445803	-4925564
711	G	10180	10569	5260278	12540	1140093	-148347	-5133099
712	G	10935	22	5464140	14240	1338542	-205914	-5293650
713	G	12449	8699	5876432	14535	1464834	81283	-5690352
714	G	10812	2646	5433552	13337	1198863	282240	-5292122
715	G	9815	6531	5127859	10989	749598	547806	-5043109
716	G	13480	1902	6098784	15332	1542268	377988	-5888438
717	G	12458	7595	5818756	15824	1449453	556973	-5607744
718	G	12645	7169	5797778	17799	1426933	963750	-5536179
719	G	11793	4372	5587035	12481	585209	969890	-5470997
720	G	12154	97	5685458	14156	1119727	737280	-5525131
721	G	10167	3194	5246977	12477	1044953	358491	-5129359
722	G	9950	728	5215975	11312	1008159	93411	-5116764
723	G	9388	382	5074672	8873	753423	132862	-5016672
724	G	9092	3912	4966651	9475	815899	-129542	-4897463
725	G	10556	2440	5307705	13586	1188194	-459247	-5152575
726	G	9430	3337	5023794	6959	-607971	-49517	-4986625
727	G	12470	670	5721902	14582	980277	967975	-5553580
