	Type	Precision	RMS	Range	Direction	X	Y	Z
573	M	5588	3039	3861793	13997	933273	-20146	-3747271
574	M	5887	1708	3911283	7745	256632	-521553	-3867849
575	M	5285	5690	3542200	20142	-997181	649798	-3336252
576	M	10380	2807	5191970	23493	-2024449	355290	-4767801
577	M	6064	6036	4003085	25580	-1728332	-43607	-3610492
578	M	5975	2164	3979796	25824	-1727521	88511	-3584217
579	M	7052	2051	4154377	16703	-1168125	-310056	-3974695
580	M	6864	3418	4126808	13655	-335209	-977950	-3995221
581	M	7551	5569	4309677	14226	-479895	-1009988	-4162083
582	F	7591	2785	4441748	15968	924423	731544	-4282454
583	F	7310	2950	4438354	15493	1121358	317299	-4282623
584	F	7059	1894	4337075	10649	691644	337575	-4268242
585	F	4246	497	3325483	8296	411331	195096	-3294174
586	F	7026	906	4359300	8245	616038	38044	-4315385
587	F	4440	1181	3391510	9001	517667	-169235	-3347495
588	F	4629	2610	3461659	9100	521424	-220954	-3415022
589	F	5198	562	3687103	17081	971408	-534370	-3516468
590	F	3487	758	2925699	13271	317004	-636962	-2837869
591	F	4670	1319	3514834	3017	139949	-176349	-3507617
592	F	6780	5168	4296829	6039	29574	383525	-4279577
593	F	4356	1035	3386923	4778	-52005	223921	-3379113
594	F	7279	469	4482895	3926	-122760	210680	-4476258
595	F	5050	3496	3635403	6016	-310916	163143	-3618407
596	F	4010	97	3165164	8460	-464978	-24397	-3130729
597	F	6669	527	4190086	8146	-305015	443845	-4155332
598	F	6451	3799	4115660	10478	63183	681802	-4058302
599	F	8610	3743	4754095	12484	-59649	952499	-4657317
600	F	8181	6824	4572712	11509	-538409	665718	-4491841
601	F	9818	343	4949446	14784	-693459	979906	-4801657
602	F	10252	10961	5006190	16909	-968764	1011303	-4806319
603	F	12104	13346	5409759	20573	-1400034	1205755	-5084442
604	F	13913	12965	5842204	23126	-1875820	1236467	-5392939
605	F	11817	164	5388057	23703	-1794574	1134773	-4952065
606	F	6299	1566	3971106	12246	-717535	379873	-3887225
607	F	7046	285	4156909	20391	-1343713	479006	-3904470
608	F	9684	48	4924765	18422	-1491778	369689	-4678808
609	F	8740	23	4694389	16034	-1292943	26566	-4512746
610	F	8932	262	4748972	18362	-1490120	61383	-4508715
